Year,Passenger Cars Occupants,Light Trucks Occupants,Large Trucks Occupants,Motorcycle Occupants,Buses,Other/ Unknown,Total
1994,21997,8904,670,2320,18,409,31998
1995,22423,9568,648,2227,33,392,33064
1996,22505,9932,621,2161,21,455,33534
1997,22199,10249,723,2116,18,420,33609
1998,21194,10705,742,2294,38,409,33088
1999,20862,11265,759,2483,59,447,33392
2000,20699,11526,754,2897,22,450,33451
2001,20320,11723,708,3197,34,458,33243
2002,20569,12274,689,3270,45,528,34105
2003,19725,12546,726,3714,41,589,33627
2004,19192,12674,766,4028,42,602,33276
2005,18512,13037,804,4576,58,659,33070
2006,17925,12761,805,4837,27,601,32119
2007,16614,12458,805,5174,36,614,30527
2008,14646,10816,682,5312,67,580,26791
2009,13135,10312,499,4469,26,554,24526
2010,12491,9782,530,4518,44,524,23371
2011,12014,9302,640,4630,55,499,22510
2012,12361,9418,697,4986,39,502,23017
2013,12037,9186,695,4692,54,511,22483
2014,11947,9103,656,4594,44,557,22307
2015,12763,9878,665,5029,49,544,23899
2016,13508,10369,725,5337,64,610,25276
2017,13363,10188,841,5172,44,537,24973
